id,name,province,forecast_datetime,publication_datetime,forecast_datetime_text_en,forecast_datetime_text_fr,publication_datetime_text_en,publication_datetime_text_fr,p1_label,p1_aqhi,p2_label,p2_aqhi,p3_label,p3_aqhi,p4_label,p4_aqhi,p5_label,p5_aqhi,lon,lat,p1_color
AQ_FCST-IAASX-202511150000-202511150000,Sturgeon County,,2025-11-15T00:00:00Z,2025-11-15T00:00:00Z,5:00 PM MST Friday 14 November 2025,5h00 PM HNR vendredi 14 novembre 2025,,,,,,,,,,,,,-113.3283333,53.8297222,#9e9e9e
AQ_FCST-IACIQ-202511150000-202511150000,Strathcona County,,2025-11-15T00:00:00Z,2025-11-15T00:00:00Z,5:00 PM MST Friday 14 November 2025,5h00 PM HNR vendredi 14 novembre 2025,,,,,,,,,,,,,-113.1438889,53.5522222,#9e9e9e
AQ_FCST-IACMP-202511150000-202511150000,Edmonton,,2025-11-15T00:00:00Z,2025-11-15T00:00:00Z,5:00 PM MST Friday 14 November 2025,5h00 PM HNR vendredi 14 novembre 2025,,,,,,,,,,,,,-113.490277777778,53.5344444444444,#9e9e9e
AQ_FCST-IACMW-202511150000-202511150000,Edson,,2025-11-15T00:00:00Z,2025-11-15T00:00:00Z,5:00 PM MST Friday 14 November 2025,5h00 PM HNR vendredi 14 novembre 2025,,,,,,,,,,,,,-116.4327778,53.5836111,#9e9e9e
AQ_FCST-IADGP-202511150000-202511150000,Lethbridge,,2025-11-15T00:00:00Z,2025-11-15T00:00:00Z,5:00 PM MST Friday 14 November 2025,5h00 PM HNR vendredi 14 novembre 2025,,,,,,,,,,,,,-112.841944444444,49.6936111111111,#9e9e9e
AQ_FCST-IAEFD-202511150000-202511150000,Cold Lake,,2025-11-15T00:00:00Z,2025-11-15T00:00:00Z,5:00 PM MST Friday 14 November 2025,5h00 PM HNR vendredi 14 novembre 2025,,,,,,,,,,,,,-110.166667,54.45,#9e9e9e
AQ_FCST-IAEJS-202511150000-202511150000,Red Deer,,2025-11-15T00:00:00Z,2025-11-15T00:00:00Z,5:00 PM MST Friday 14 November 2025,5h00 PM HNR vendredi 14 novembre 2025,,,,,,,,,,,,,-113.810277777778,52.2686111111111,#9e9e9e
AQ_FCST-IAFEW-202511150000-202511150000,Fort Chipewyan,,2025-11-15T00:00:00Z,2025-11-15T00:00:00Z,5:00 PM MST Friday 14 November 2025,5h00 PM HNR vendredi 14 novembre 2025,,,,,,,,,,,,,-111.158333333333,58.7144444444444,#9e9e9e
AQ_FCST-IAFFF-202511150000-202511150000,Fort McKay,,2025-11-15T00:00:00Z,2025-11-15T00:00:00Z,5:00 PM MST Friday 14 November 2025,5h00 PM HNR vendredi 14 novembre 2025,,,,,,,,,,,,,-111.599722222222,57.1811111111111,#9e9e9e
AQ_FCST-IAFFI-202511150000-202511150000,Fort McMurray,,2025-11-15T00:00:00Z,2025-11-15T00:00:00Z,5:00 PM MST Friday 14 November 2025,5h00 PM HNR vendredi 14 novembre 2025,,,,,,,,,,,,,-111.380277777778,56.7263888888889,#9e9e9e
